"方正像素12";0;False;False;0;0;1;1
32;2;2;6;32;6;0
33;880;2;8;32;12;0
34;868;2;10;32;12;0
35;852;2;14;32;16;0
36;936;2;12;32;14;0
37;836;2;14;32;16;0
38;820;2;14;32;16;0
39;814;2;4;32;6;0
40;804;2;8;32;10;0
41;794;2;8;32;10;0
42;904;2;16;32;18;0
43;780;2;12;32;14;0
44;760;2;4;32;6;0
45;750;2;8;32;10;0
46;744;2;4;32;6;0
47;730;2;12;32;14;0
48;716;2;12;32;14;0
49;702;2;12;32;14;0
50;688;2;12;32;14;0
51;674;2;12;32;14;0
52;660;2;12;32;14;0
53;766;2;12;32;14;0
54;922;2;12;32;14;0
55;964;2;12;32;14;0
56;950;2;12;32;14;0
57;1132;2;12;32;14;0
58;1160;2;4;32;6;0
59;1166;2;4;32;6;0
60;1172;2;10;32;12;0
61;1200;2;12;32;14;0
62;1214;2;10;32;12;0
63;1226;2;12;32;14;0
64;1240;2;12;32;14;0
65;1118;2;12;32;14;0
66;1146;2;12;32;14;0
67;1090;2;12;32;14;0
68;1076;2;12;32;14;0
69;1062;2;12;32;14;0
70;1048;2;12;32;14;0
71;1034;2;12;32;14;0
72;1020;2;12;32;14;0
73;1006;2;12;32;14;0
74;1104;2;12;32;14;0
75;992;2;12;32;14;0
76;978;2;12;32;14;0
77;1184;2;14;32;16;0
78;646;2;12;32;14;0
79;890;2;12;32;14;0
80;618;2;12;32;14;0
81;288;2;12;32;14;0
82;264;2;12;32;14;0
83;250;2;12;32;14;0
84;236;2;12;32;14;0
85;222;2;12;32;14;0
86;208;2;12;32;14;0
87;192;2;14;32;16;0
88;178;2;12;32;14;0
89;164;2;12;32;14;0
90;150;2;12;32;14;0
91;278;2;8;32;10;0
92;140;2;8;32;10;0
93;116;2;8;32;10;0
94;102;2;12;32;14;0
95;88;2;12;32;14;0
96;80;2;6;32;8;0
97;66;2;12;32;14;0
98;52;2;12;32;14;0
99;38;2;12;32;14;0
100;24;2;12;32;14;0
101;10;2;12;32;14;0
102;126;2;12;32;14;0
103;302;2;12;32;14;0
104;448;2;12;32;14;0
105;316;2;12;32;14;0
106;590;2;12;32;14;0
107;576;2;12;32;14;0
108;562;2;12;32;14;0
109;546;2;14;32;16;0
110;532;2;12;32;14;0
111;518;2;12;32;14;0
112;504;2;12;32;14;0
113;490;2;12;32;14;0
114;476;2;12;32;14;0
115;604;2;12;32;14;0
116;462;2;12;32;14;0
117;434;2;12;32;14;0
118;420;2;12;32;14;0
119;404;2;14;32;16;0
120;390;2;12;32;14;0
121;632;2;12;32;14;0
122;376;2;12;32;14;0
123;364;2;10;32;12;0
124;358;2;4;32;6;0
125;346;2;10;32;12;0
